method,scope,samples,mask_psnr,mask_psnr_infinite_samples,mask_ssim,mask_lpips,mask_dists,mask_vfid,mask_twe_pred,mask_twe_gt,mask_twe_gap,mask_tc,mask_flow_mean,mask_flow_var,runtime_setting,speed_samples,seconds_per_frame,throughput_fps
Ours,overall,1631,30.799408397824457,15,0.8821941626344196,0.040755163326052654,0.050716487202456646,0.08346920778325284,9.311007415386744,9.322845860422811,0.011838445036067569,4.249831039013521,0.3332979239939971,0.5921460229396701,768s + 4-step SEdit,128,1.4695146443514642,0.6804967911301942
Ours,standard_subtitle,232,30.39329805027153,1,0.8717626388467821,0.02852415049993617,0.03947215857768205,,10.83648331137229,10.986937228236652,0.15045391686436282,5.001030748856898,0.36735774345224714,0.3828370698883674,,,,
Ours,artistic_title,218,26.238659578030724,0,0.8409161790571973,0.06743663855005032,0.06684874982968343,,10.785506631874885,10.935693536919272,0.1501869050443876,4.951436316173678,0.47222203588760914,0.9217582649725157,,,,
Ours,moving_text,232,30.73460916750722,4,0.8799687849791724,0.020919643460627833,0.03251204938470726,,10.576817286797713,10.209265652810522,0.3675516339871905,4.8553395976265,0.3613025600931755,0.43157624656733035,,,,
Ours,vertical_text,215,30.456228263325915,3,0.8736309589328023,0.09750408657268785,0.10145593761600251,,8.96923642848799,8.97096189669788,0.0017254682098890584,4.3233506318290775,0.3488725115063979,0.7738671740773615,,,,
Ours,non_bottom_layout,223,30.92306806698714,2,0.8843223498758479,0.041440472895982475,0.0628329158978978,,9.402839574246267,9.4904161688348,0.0875765945885334,3.9872372270450613,0.28477283263488845,0.3280644429897938,,,,
Ours,multi_region,225,29.877792755267546,2,0.8834385687739741,0.010282009154086287,0.016712306482062494,,9.845642685682154,9.98212413585491,0.1364814501727558,4.467410449893793,0.3495536808942905,0.3741325845417468,,,,
Ours,persistent_watermark,218,36.02139767266863,3,0.930619448095889,0.03140714114747498,0.03796473517802985,,6.221555824397545,6.1178469709736865,0.10370885342385883,3.011515473107577,0.21493144426402983,1.1524582222660633,,,,
Ours,asr_subtitle,68,34.19715771164095,0,0.9184412359225513,0.013745751224693025,0.052704100839928957,,3.9755746881269016,4.1069581649770495,0.13138347685014784,1.25046140416452,0.1117463983226891,0.013932868288529925,,,,
CLEAR,overall,1631,16.024887089126775,1,0.517214318578598,0.3209161062327989,0.21579903188047023,1.4735501847623311,10.23727025736654,9.322845860422811,0.914424396943728,11.02609202325451,0.9013727513169001,2.816910267780843,Official inference,1631,1.3778394312798665,0.7257739743092605
